,LOTTO GAME,DRAW DATE,JACKPOT (PHP),WINNERS,BALL 1,BALL 2,BALL 3,BALL 4,BALL 5,BALL 6
1125,Grand Lotto 6/55,19 06 2023,"29,700,000.00",0,20,13,19,43,24,15
1126,Megalotto 6/45,19 06 2023,"20,651,600.00",0,42,11,27,10,14,21
1134,Ultra Lotto 6/58,18 06 2023,"279,303,056.00",0,9,12,51,7,15,18
1135,Superlotto 6/49,18 06 2023,"15,840,000.00",0,40,6,45,32,4,49
1142,Grand Lotto 6/55,17 06 2023,"29,700,000.00",0,18,15,43,25,34,19
1143,Lotto 6/42,17 06 2023,"24,296,322.20",0,10,8,21,13,35,26
1151,Ultra Lotto 6/58,16 06 2023,"265,998,969.60",0,50,10,27,36,19,38
1152,Megalotto 6/45,16 06 2023,"16,187,759.20",0,5,20,15,16,26,33
1160,Superlotto 6/49,15 06 2023,"15,840,000.00",1,19,3,45,22,42,32
1161,Lotto 6/42,15 06 2023,"19,503,581.40",0,2,29,10,27,26,14
1169,Grand Lotto 6/55,14 06 2023,"29,700,000.00",0,30,14,5,27,34,42
1170,Megalotto 6/45,14 06 2023,"11,726,344.20",0,40,17,22,10,28,21
1178,Ultra Lotto 6/58,13 06 2023,"251,297,399.20",0,42,18,14,37,56,27
1179,Superlotto 6/49,13 06 2023,"15,840,000.00",0,15,9,37,31,45,3
1180,Lotto 6/42,13 06 2023,"14,897,350.40",0,36,16,8,32,9,40
1188,Grand Lotto 6/55,12 06 2023,"29,700,000.00",0,54,22,23,49,42,41
1189,Megalotto 6/45,12 06 2023,"8,910,000.00",0,1,23,43,39,31,3
1197,Ultra Lotto 6/58,11 06 2023,"239,314,610.80",0,19,5,55,44,41,46
1198,Superlotto 6/49,11 06 2023,"15,840,000.00",2,18,29,21,48,10,8
1205,Grand Lotto 6/55,10 06 2023,"29,700,000.00",0,19,27,28,5,33,10
1206,Lotto 6/42,10 06 2023,"11,161,496.80",0,12,37,38,19,39,21
1214,Ultra Lotto 6/58,9 06 2023,"227,492,479.60",0,34,47,30,26,7,46
1215,Megalotto 6/45,9 06 2023,"8,910,000.00",0,35,14,29,7,8,32
1223,Superlotto 6/49,8 06 2023,"15,840,000.00",1,17,15,37,45,13,31
1224,Lotto 6/42,8 06 2023,"7,275,065.00",0,6,11,36,41,40,7
1232,Grand Lotto 6/55,7 06 2023,"29,700,000.00",0,17,20,29,2,22,39
1233,Megalotto 6/45,7 06 2023,"8,910,000.00",1,27,10,18,8,40,36
