LOTTO GAME,COMBINATIONS,DRAW DATE,JACKPOT,WINNERS
3D Lotto 2PM,9 01 2005,9/24/2023,4500.00,443
3D Lotto 5PM,6 04 2009,9/24/2023,4500.00,250
3D Lotto 9PM,8 09 2004,9/24/2023,4500.00,282
2D Lotto 2PM,8 Feb,9/24/2023,4000.00,311
2D Lotto 5PM,May 23,9/24/2023,4000.00,218
2D Lotto 9PM,14 Aug,9/24/2023,4000.00,285
Grand Lotto 6/55,39-52-45-22-11-17,9/23/2023,32474564.60,0
Lotto 6/42,13-36-27-38-15-22,9/23/2023,5940000.00,0
6D Lotto,9-1-4-5-3-2,9/23/2023,797486.56,0
3D Lotto 2PM,5 06 2007,9/23/2023,4500.00,159
3D Lotto 5PM,8 09 2007,9/23/2023,4500.00,145
3D Lotto 9PM,1 01 2003,9/23/2023,4500.00,799
2D Lotto 2PM,3 May,9/23/2023,4000.00,159
2D Lotto 5PM,Oct 17,9/23/2023,4000.00,233
2D Lotto 9PM,Feb 28,9/23/2023,4000.00,457
Ultra Lotto 6/58,10-12-31-36-58-19,9/22/2023,49500000.00,0
Megalotto 6/45,31-03-20-29-26-37,9/22/2023,38308420.20,0
4D Lotto,5-7-4-0,9/22/2023,67109.00,13
3D Lotto 2PM,0-0-9,9/22/2023,4500.00,237
3D Lotto 5PM,2 06 2003,9/22/2023,4500.00,201
3D Lotto 9PM,1 09 2007,9/22/2023,4500.00,676
2D Lotto 2PM,26-24,9/22/2023,4000.00,65
2D Lotto 5PM,28 Nov,9/22/2023,4000.00,76
2D Lotto 9PM,25-17,9/22/2023,4000.00,222
Superlotto 6/49,25-24-17-23-03-31,9/21/2023,68675891.00,0
Lotto 6/42,25-10-14-17-19-42,9/21/2023,21966450.20,1
6D Lotto,7-8-7-6-1-8,9/21/2023,242060.88,0
3D Lotto 2PM,3 06 2009,9/21/2023,4500.00,548
3D Lotto 5PM,6 06 2000,9/21/2023,4500.00,223
3D Lotto 9PM,9 07 2007,9/21/2023,4500.00,347
2D Lotto 2PM,30-21,9/21/2023,4000.00,98
2D Lotto 5PM,18-23,9/21/2023,4000.00,172
2D Lotto 9PM,31 Mar,9/21/2023,4000.00,243
Grand Lotto 6/55,03-31-28-37-55-25,9/20/2023,29700000.00,0
Megalotto 6/45,44-41-29-18-02-13,9/20/2023,33297251.80,0
4D Lotto,9-9-0-5,9/20/2023,40196.00,17
3D Lotto 2PM,9 01 2000,9/20/2023,4500.00,523
3D Lotto 5PM,3-0-5,9/20/2023,4500.00,242
3D Lotto 9PM,6 01 2007,9/20/2023,4500.00,404
2D Lotto 2PM,19 May,9/20/2023,4000.00,285
2D Lotto 5PM,23 Oct,9/20/2023,4000.00,269
2D Lotto 9PM,14 Feb,9/20/2023,4000.00,191
Ultra Lotto 6/58,07-10-09-13-21-19,9/19/2023,77455718.40,1
Superlotto 6/49,02-33-38-17-28-41,9/19/2023,63053989.60,0
